epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,932.742,1.20483,0.70366,1.22593,0.73659,0.66392,0.66867,0.2916,1.90535,0.9084,1.28555,0.000990365,0.000990365,0.000990365
43,954.932,1.17414,0.68604,1.23179,0.79122,0.70893,0.71021,0.29975,1.96999,0.92708,1.28794,0.000973861,0.000973861,0.000973861
44,977.275,1.20262,0.69067,1.22143,0.77493,0.67522,0.69769,0.32135,1.92832,0.89828,1.28369,0.000957358,0.000957358,0.000957358
45,998.796,1.18627,0.68194,1.21724,0.63362,0.68174,0.64914,0.28608,1.91801,0.89184,1.28709,0.000940855,0.000940855,0.000940855
46,1021.45,1.17566,0.67823,1.22443,0.6698,0.69414,0.6839,0.30718,1.99556,0.96707,1.30186,0.000924352,0.000924352,0.000924352
47,1042.33,1.15577,0.66493,1.21939,0.78832,0.59968,0.65156,0.29585,1.92893,0.90972,1.27708,0.000907848,0.000907848,0.000907848
48,1064.96,1.17664,0.66036,1.20213,0.73202,0.67882,0.68525,0.31394,1.90907,0.91622,1.26431,0.000891345,0.000891345,0.000891345
49,1086.3,1.17474,0.67324,1.2236,0.68562,0.63326,0.66086,0.30572,1.95911,0.90079,1.29337,0.000874842,0.000874842,0.000874842
50,1109.03,1.15369,0.65286,1.20284,0.71983,0.70867,0.70027,0.28865,2.01956,0.91482,1.34448,0.000858338,0.000858338,0.000858338
51,1130.78,1.17664,0.66124,1.21268,0.796,0.63211,0.68211,0.3032,1.92523,0.92473,1.29227,0.000841835,0.000841835,0.000841835
52,1152.57,1.13964,0.65589,1.19649,0.78241,0.63601,0.6668,0.30978,1.94532,0.93069,1.31061,0.000825332,0.000825332,0.000825332
53,1175.03,1.14926,0.6564,1.20731,0.77017,0.64964,0.64976,0.27797,1.9661,0.91516,1.28645,0.000808828,0.000808828,0.000808828
54,1195.87,1.14115,0.64476,1.19864,0.72764,0.64508,0.66807,0.33857,1.99165,0.94286,1.32052,0.000792325,0.000792325,0.000792325
55,1218.76,1.12023,0.62445,1.20285,0.7574,0.64378,0.66427,0.31144,1.9594,0.90815,1.32597,0.000775822,0.000775822,0.000775822
56,1239.45,1.15195,0.63861,1.19407,0.74796,0.67461,0.70587,0.33187,1.98372,0.93224,1.31725,0.000759318,0.000759318,0.000759318
57,1262.39,1.12019,0.63514,1.1823,0.78274,0.67687,0.69808,0.32223,1.97759,0.88856,1.33647,0.000742815,0.000742815,0.000742815
58,1283.43,1.11914,0.63014,1.17772,0.76481,0.66716,0.68,0.31164,1.93111,0.90823,1.29355,0.000726312,0.000726312,0.000726312
59,1306.59,1.10792,0.61984,1.18025,0.75355,0.67453,0.68845,0.33527,1.9094,0.90322,1.27674,0.000709809,0.000709809,0.000709809
60,1328.52,1.09904,0.61807,1.18593,0.82457,0.66317,0.68285,0.32641,1.92358,0.87286,1.28639,0.000693305,0.000693305,0.000693305
61,1351.64,1.13017,0.62512,1.17807,0.81287,0.69377,0.71168,0.33188,1.88507,0.8729,1.26203,0.000676802,0.000676802,0.000676802
62,1374.16,1.137,0.63201,1.19056,0.77302,0.6707,0.70472,0.32841,1.90681,0.88259,1.26237,0.000660299,0.000660299,0.000660299
63,1396.11,1.14277,0.63496,1.1714,0.82638,0.62241,0.70355,0.33139,1.93436,0.88173,1.28808,0.000643795,0.000643795,0.000643795
64,1420.3,1.06662,0.59426,1.18802,0.77848,0.68053,0.71062,0.34084,1.88694,0.8942,1.2583,0.000627292,0.000627292,0.000627292
65,1443.07,1.11897,0.61145,1.176,0.75131,0.72874,0.69537,0.32031,1.89125,0.85689,1.26587,0.000610789,0.000610789,0.000610789
66,1466.65,1.10958,0.61378,1.16685,0.77451,0.68274,0.68264,0.32347,1.9573,0.87879,1.28603,0.000594286,0.000594286,0.000594286
